goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,50,bangladesh,2021,center for ocean-atmospheric prediction studies (coaps),25.22
14,14.1,14.1.1,52,barbados,2017,center for ocean-atmospheric prediction studies (coaps),41.92
14,14.1,14.1.1,52,barbados,2018,center for ocean-atmospheric prediction studies (coaps),45.68
14,14.1,14.1.1,52,barbados,2019,center for ocean-atmospheric prediction studies (coaps),47.57
14,14.1,14.1.1,52,barbados,2020,center for ocean-atmospheric prediction studies (coaps),50.0
14,14.1,14.1.1,52,barbados,2021,center for ocean-atmospheric prediction studies (coaps),50.17
14,14.1,14.1.1,56,belgium,2017,center for ocean-atmospheric prediction studies (coaps),14.29
14,14.1,14.1.1,56,belgium,2018,center for ocean-atmospheric prediction studies (coaps),34.48
14,14.1,14.1.1,56,belgium,2019,center for ocean-atmospheric prediction studies (coaps),46.67
14,14.1,14.1.1,56,belgium,2020,center for ocean-atmospheric prediction studies (coaps),22.58
14,14.1,14.1.1,56,belgium,2021,center for ocean-atmospheric prediction studies (coaps),28.12
14,14.1,14.1.1,84,belize,2017,center for ocean-atmospheric prediction studies (coaps),3.6
14,14.1,14.1.1,84,belize,2018,center for ocean-atmospheric prediction studies (coaps),4.42
14,14.1,14.1.1,84,belize,2019,center for ocean-atmospheric prediction studies (coaps),5.1
14,14.1,14.1.1,84,belize,2020,center for ocean-atmospheric prediction studies (coaps),3.18
14,14.1,14.1.1,84,belize,2021,center for ocean-atmospheric prediction studies (coaps),3.83
14,14.1,14.1.1,204,benin,2017,center for ocean-atmospheric prediction studies (coaps),1.93
14,14.1,14.1.1,204,benin,2018,center for ocean-atmospheric prediction studies (coaps),1.9
14,14.1,14.1.1,204,benin,2019,center for ocean-atmospheric prediction studies (coaps),0.75
14,14.1,14.1.1,204,benin,2020,center for ocean-atmospheric prediction studies (coaps),1.82
14,14.1,14.1.1,204,benin,2021,center for ocean-atmospheric prediction studies (coaps),1.93
14,14.1,14.1.1,76,brazil,2017,center for ocean-atmospheric prediction studies (coaps),32.82
14,14.1,14.1.1,76,brazil,2018,center for ocean-atmospheric prediction studies (coaps),33.68
14,14.1,14.1.1,76,brazil,2019,center for ocean-atmospheric prediction studies (coaps),31.99
14,14.1,14.1.1,76,brazil,2020,center for ocean-atmospheric prediction studies (coaps),33.97
14,14.1,14.1.1,76,brazil,2021,center for ocean-atmospheric prediction studies (coaps),35.8
14,14.1,14.1.1,96,brunei darussalam,2017,center for ocean-atmospheric prediction studies (coaps),45.52
14,14.1,14.1.1,96,brunei darussalam,2018,center for ocean-atmospheric prediction studies (coaps),40.22
14,14.1,14.1.1,96,brunei darussalam,2019,center for ocean-atmospheric prediction studies (coaps),38.28
14,14.1,14.1.1,96,brunei darussalam,2020,center for ocean-atmospheric prediction studies (coaps),46.28
14,14.1,14.1.1,96,brunei darussalam,2021,center for ocean-atmospheric prediction studies (coaps),46.14
14,14.1,14.1.1,100,bulgaria,2017,center for ocean-atmospheric prediction studies (coaps),43.75
14,14.1,14.1.1,100,bulgaria,2018,center for ocean-atmospheric prediction studies (coaps),17.37
14,14.1,14.1.1,100,bulgaria,2019,center for ocean-atmospheric prediction studies (coaps),30.64
14,14.1,14.1.1,100,bulgaria,2020,center for ocean-atmospheric prediction studies (coaps),16.85
14,14.1,14.1.1,100,bulgaria,2021,center for ocean-atmospheric prediction studies (coaps),34.07
14,14.1,14.1.1,132,cabo verde,2017,center for ocean-atmospheric prediction studies (coaps),59.97
14,14.1,14.1.1,132,cabo verde,2018,center for ocean-atmospheric prediction studies (coaps),58.41
14,14.1,14.1.1,132,cabo verde,2019,center for ocean-atmospheric prediction studies (coaps),56.14
14,14.1,14.1.1,132,cabo verde,2020,center for ocean-atmospheric prediction studies (coaps),57.81
14,14.1,14.1.1,132,cabo verde,2021,center for ocean-atmospheric prediction studies (coaps),57.38
14,14.1,14.1.1,116,cambodia,2017,center for ocean-atmospheric prediction studies (coaps),32.82
14,14.1,14.1.1,116,cambodia,2018,center for ocean-atmospheric prediction studies (coaps),26.38
14,14.1,14.1.1,116,cambodia,2019,center for ocean-atmospheric prediction studies (coaps),26.85
14,14.1,14.1.1,116,cambodia,2020,center for ocean-atmospheric prediction studies (coaps),24.67
14,14.1,14.1.1,116,cambodia,2021,center for ocean-atmospheric prediction studies (coaps),29.56
14,14.1,14.1.1,120,cameroon,2017,center for ocean-atmospheric prediction studies (coaps),0.4
14,14.1,14.1.1,120,cameroon,2018,center for ocean-atmospheric prediction studies (coaps),0.44
14,14.1,14.1.1,120,cameroon,2019,center for ocean-atmospheric prediction studies (coaps),0.28
14,14.1,14.1.1,120,cameroon,2020,center for ocean-atmospheric prediction studies (coaps),0.37
14,14.1,14.1.1,120,cameroon,2021,center for ocean-atmospheric prediction studies (coaps),0.86
14,14.1,14.1.1,124,canada,2017,center for ocean-atmospheric prediction studies (coaps),37.63
14,14.1,14.1.1,124,canada,2018,center for ocean-atmospheric prediction studies (coaps),30.15
14,14.1,14.1.1,124,canada,2019,center for ocean-atmospheric prediction studies (coaps),34.12
14,14.1,14.1.1,124,canada,2020,center for ocean-atmospheric prediction studies (coaps),39.42
14,14.1,14.1.1,124,canada,2021,center for ocean-atmospheric prediction studies (coaps),33.18
14,14.1,14.1.1,29,caribbean,2022,center for ocean-atmospheric prediction studies (coaps),42.4
14,14.1,14.1.1,13,central america,2017,center for ocean-atmospheric prediction studies (coaps),38.49
14,14.1,14.1.1,13,central america,2018,center for ocean-atmospheric prediction studies (coaps),40.38
14,14.1,14.1.1,13,central america,2019,center for ocean-atmospheric prediction studies (coaps),39.7
14,14.1,14.1.1,13,central america,2020,center for ocean-atmospheric prediction studies (coaps),36.76
14,14.1,14.1.1,13,central america,2021,center for ocean-atmospheric prediction studies (coaps),34.9
14,14.1,14.1.1,13,central america,2022,center for ocean-atmospheric prediction studies (coaps),34.22
14,14.1,14.1.1,62,central and southern asia,2022,center for ocean-atmospheric prediction studies (coaps),32.58
14,14.1,14.1.1,152,chile,2017,center for ocean-atmospheric prediction studies (coaps),75.46
14,14.1,14.1.1,152,chile,2018,center for ocean-atmospheric prediction studies (coaps),75.3
14,14.1,14.1.1,152,chile,2019,center for ocean-atmospheric prediction studies (coaps),72.96
14,14.1,14.1.1,152,chile,2020,center for ocean-atmospheric prediction studies (coaps),69.66
14,14.1,14.1.1,152,chile,2021,center for ocean-atmospheric prediction studies (coaps),65.34
14,14.1,14.1.1,156,china,2017,center for ocean-atmospheric prediction studies (coaps),22.08
14,14.1,14.1.1,156,china,2018,center for ocean-atmospheric prediction studies (coaps),18.75
14,14.1,14.1.1,156,china,2019,center for ocean-atmospheric prediction studies (coaps),15.75
14,14.1,14.1.1,156,china,2020,center for ocean-atmospheric prediction studies (coaps),15.19
14,14.1,14.1.1,156,china,2021,center for ocean-atmospheric prediction studies (coaps),21.7
14,14.1,14.1.1,344,"china, hong kong special administrative region",2017,center for ocean-atmospheric prediction studies (coaps),21.56
