goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_value
14,14.1,14.1.1,50,bangladesh,2019,center for ocean-atmospheric prediction studies (coaps),136403.0
14,14.1,14.1.1,50,bangladesh,2020,center for ocean-atmospheric prediction studies (coaps),136402.0
14,14.1,14.1.1,50,bangladesh,2021,center for ocean-atmospheric prediction studies (coaps),119879.0
14,14.1,14.1.1,52,barbados,2017,center for ocean-atmospheric prediction studies (coaps),223.0
14,14.1,14.1.1,52,barbados,2018,center for ocean-atmospheric prediction studies (coaps),254.0
14,14.1,14.1.1,52,barbados,2019,center for ocean-atmospheric prediction studies (coaps),274.0
14,14.1,14.1.1,52,barbados,2020,center for ocean-atmospheric prediction studies (coaps),296.0
14,14.1,14.1.1,52,barbados,2021,center for ocean-atmospheric prediction studies (coaps),304.0
14,14.1,14.1.1,56,belgium,2017,center for ocean-atmospheric prediction studies (coaps),4.0
14,14.1,14.1.1,56,belgium,2018,center for ocean-atmospheric prediction studies (coaps),10.0
14,14.1,14.1.1,56,belgium,2019,center for ocean-atmospheric prediction studies (coaps),14.0
14,14.1,14.1.1,56,belgium,2020,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,56,belgium,2021,center for ocean-atmospheric prediction studies (coaps),9.0
14,14.1,14.1.1,84,belize,2017,center for ocean-atmospheric prediction studies (coaps),538.0
14,14.1,14.1.1,84,belize,2018,center for ocean-atmospheric prediction studies (coaps),692.0
14,14.1,14.1.1,84,belize,2019,center for ocean-atmospheric prediction studies (coaps),827.0
14,14.1,14.1.1,84,belize,2020,center for ocean-atmospheric prediction studies (coaps),530.0
14,14.1,14.1.1,84,belize,2021,center for ocean-atmospheric prediction studies (coaps),653.0
14,14.1,14.1.1,204,benin,2017,center for ocean-atmospheric prediction studies (coaps),579.0
14,14.1,14.1.1,204,benin,2018,center for ocean-atmospheric prediction studies (coaps),596.0
14,14.1,14.1.1,204,benin,2019,center for ocean-atmospheric prediction studies (coaps),244.0
14,14.1,14.1.1,204,benin,2020,center for ocean-atmospheric prediction studies (coaps),610.0
14,14.1,14.1.1,204,benin,2021,center for ocean-atmospheric prediction studies (coaps),659.0
14,14.1,14.1.1,76,brazil,2017,center for ocean-atmospheric prediction studies (coaps),284851.0
14,14.1,14.1.1,76,brazil,2018,center for ocean-atmospheric prediction studies (coaps),305729.0
14,14.1,14.1.1,76,brazil,2019,center for ocean-atmospheric prediction studies (coaps),300873.0
14,14.1,14.1.1,76,brazil,2020,center for ocean-atmospheric prediction studies (coaps),328453.0
14,14.1,14.1.1,76,brazil,2021,center for ocean-atmospheric prediction studies (coaps),353959.0
14,14.1,14.1.1,96,brunei darussalam,2017,center for ocean-atmospheric prediction studies (coaps),543.0
14,14.1,14.1.1,96,brunei darussalam,2018,center for ocean-atmospheric prediction studies (coaps),502.0
14,14.1,14.1.1,96,brunei darussalam,2019,center for ocean-atmospheric prediction studies (coaps),495.0
14,14.1,14.1.1,96,brunei darussalam,2020,center for ocean-atmospheric prediction studies (coaps),615.0
14,14.1,14.1.1,96,brunei darussalam,2021,center for ocean-atmospheric prediction studies (coaps),627.0
14,14.1,14.1.1,100,bulgaria,2017,center for ocean-atmospheric prediction studies (coaps),70.0
14,14.1,14.1.1,100,bulgaria,2018,center for ocean-atmospheric prediction studies (coaps),29.0
14,14.1,14.1.1,100,bulgaria,2019,center for ocean-atmospheric prediction studies (coaps),53.0
14,14.1,14.1.1,100,bulgaria,2020,center for ocean-atmospheric prediction studies (coaps),30.0
14,14.1,14.1.1,100,bulgaria,2021,center for ocean-atmospheric prediction studies (coaps),62.0
14,14.1,14.1.1,132,cabo verde,2017,center for ocean-atmospheric prediction studies (coaps),1230.0
14,14.1,14.1.1,132,cabo verde,2018,center for ocean-atmospheric prediction studies (coaps),1253.0
14,14.1,14.1.1,132,cabo verde,2019,center for ocean-atmospheric prediction studies (coaps),1248.0
14,14.1,14.1.1,132,cabo verde,2020,center for ocean-atmospheric prediction studies (coaps),1321.0
14,14.1,14.1.1,132,cabo verde,2021,center for ocean-atmospheric prediction studies (coaps),1341.0
14,14.1,14.1.1,116,cambodia,2017,center for ocean-atmospheric prediction studies (coaps),916.0
14,14.1,14.1.1,116,cambodia,2018,center for ocean-atmospheric prediction studies (coaps),770.0
14,14.1,14.1.1,116,cambodia,2019,center for ocean-atmospheric prediction studies (coaps),812.0
14,14.1,14.1.1,116,cambodia,2020,center for ocean-atmospheric prediction studies (coaps),767.0
14,14.1,14.1.1,116,cambodia,2021,center for ocean-atmospheric prediction studies (coaps),940.0
14,14.1,14.1.1,120,cameroon,2017,center for ocean-atmospheric prediction studies (coaps),252.0
14,14.1,14.1.1,120,cameroon,2018,center for ocean-atmospheric prediction studies (coaps),289.0
14,14.1,14.1.1,120,cameroon,2019,center for ocean-atmospheric prediction studies (coaps),193.0
14,14.1,14.1.1,120,cameroon,2020,center for ocean-atmospheric prediction studies (coaps),258.0
14,14.1,14.1.1,120,cameroon,2021,center for ocean-atmospheric prediction studies (coaps),616.0
14,14.1,14.1.1,124,canada,2017,center for ocean-atmospheric prediction studies (coaps),222.0
14,14.1,14.1.1,124,canada,2018,center for ocean-atmospheric prediction studies (coaps),186.0
14,14.1,14.1.1,124,canada,2019,center for ocean-atmospheric prediction studies (coaps),218.0
14,14.1,14.1.1,124,canada,2020,center for ocean-atmospheric prediction studies (coaps),259.0
14,14.1,14.1.1,124,canada,2021,center for ocean-atmospheric prediction studies (coaps),223.0
14,14.1,14.1.1,29,caribbean,2022,center for ocean-atmospheric prediction studies (coaps),159548.0
14,14.1,14.1.1,13,central america,2017,center for ocean-atmospheric prediction studies (coaps),75502.0
14,14.1,14.1.1,13,central america,2018,center for ocean-atmospheric prediction studies (coaps),82630.0
14,14.1,14.1.1,13,central america,2019,center for ocean-atmospheric prediction studies (coaps),87252.0
14,14.1,14.1.1,13,central america,2020,center for ocean-atmospheric prediction studies (coaps),82643.0
14,14.1,14.1.1,13,central america,2021,center for ocean-atmospheric prediction studies (coaps),80865.0
14,14.1,14.1.1,13,central america,2022,center for ocean-atmospheric prediction studies (coaps),81663.0
14,14.1,14.1.1,62,central and southern asia,2022,center for ocean-atmospheric prediction studies (coaps),748078.0
14,14.1,14.1.1,152,chile,2017,center for ocean-atmospheric prediction studies (coaps),3726.0
14,14.1,14.1.1,152,chile,2018,center for ocean-atmospheric prediction studies (coaps),3889.0
14,14.1,14.1.1,152,chile,2019,center for ocean-atmospheric prediction studies (coaps),3904.0
14,14.1,14.1.1,152,chile,2020,center for ocean-atmospheric prediction studies (coaps),3832.0
14,14.1,14.1.1,152,chile,2021,center for ocean-atmospheric prediction studies (coaps),3676.0
14,14.1,14.1.1,156,china,2017,center for ocean-atmospheric prediction studies (coaps),649214.0
14,14.1,14.1.1,156,china,2018,center for ocean-atmospheric prediction studies (coaps),576566.0
14,14.1,14.1.1,156,china,2019,center for ocean-atmospheric prediction studies (coaps),501870.0
14,14.1,14.1.1,156,china,2020,center for ocean-atmospheric prediction studies (coaps),497435.0
14,14.1,14.1.1,156,china,2021,center for ocean-atmospheric prediction studies (coaps),726819.0
14,14.1,14.1.1,344,"china, hong kong special administrative region",2017,center for ocean-atmospheric prediction studies (coaps),5652.0
14,14.1,14.1.1,344,"china, hong kong special administrative region",2018,center for ocean-atmospheric prediction studies (coaps),6230.0
14,14.1,14.1.1,344,"china, hong kong special administrative region",2019,center for ocean-atmospheric prediction studies (coaps),4942.0
14,14.1,14.1.1,344,"china, hong kong special administrative region",2020,center for ocean-atmospheric prediction studies (coaps),5528.0
14,14.1,14.1.1,344,"china, hong kong special administrative region",2021,center for ocean-atmospheric prediction studies (coaps),5219.0
14,14.1,14.1.1,170,colombia,2017,center for ocean-atmospheric prediction studies (coaps),6954.0
14,14.1,14.1.1,170,colombia,2018,center for ocean-atmospheric prediction studies (coaps),5330.0
14,14.1,14.1.1,170,colombia,2019,center for ocean-atmospheric prediction studies (coaps),5038.0
14,14.1,14.1.1,170,colombia,2020,center for ocean-atmospheric prediction studies (coaps),8883.0
14,14.1,14.1.1,170,colombia,2021,center for ocean-atmospheric prediction studies (coaps),7325.0
14,14.1,14.1.1,174,comoros,2017,center for ocean-atmospheric prediction studies (coaps),13765.0
14,14.1,14.1.1,174,comoros,2018,center for ocean-atmospheric prediction studies (coaps),15379.0
14,14.1,14.1.1,174,comoros,2019,center for ocean-atmospheric prediction studies (coaps),15869.0
14,14.1,14.1.1,174,comoros,2020,center for ocean-atmospheric prediction studies (coaps),17648.0
14,14.1,14.1.1,174,comoros,2021,center for ocean-atmospheric prediction studies (coaps),17060.0
14,14.1,14.1.1,178,congo,2017,center for ocean-atmospheric prediction studies (coaps),192.0
14,14.1,14.1.1,178,congo,2018,center for ocean-atmospheric prediction studies (coaps),106.0
14,14.1,14.1.1,178,congo,2019,center for ocean-atmospheric prediction studies (coaps),35.0
