"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2059","2059",140.927743,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2060","2060",144.958656,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2019","2019",109.437071,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2020","2020",113.914945,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2021","2021",118.428584,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2022","2022",122.993882,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2023","2023",127.597563,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2024","2024",132.236169,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2025","2025",136.914406,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2026","2026",141.638669,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2027","2027",146.412582,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2028","2028",151.239987,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2029","2029",156.121918,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2030","2030",161.069288,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2031","2031",166.080698,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2032","2032",171.157079,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2033","2033",176.300006,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2034","2034",181.512245,,
